order_item_id,order_id,product_id,quantity,unit_price,subtotal
ITEM000001,ORD00001,PROD0073,2,15000,30000
ITEM000002,ORD00001,PROD0003,2,20000,40000
ITEM000003,ORD00001,PROD0063,2,12000,24000
ITEM000004,ORD00002,PROD0108,1,30000,30000
ITEM000005,ORD00003,PROD0046,3,173000,519000
ITEM000006,ORD00003,PROD0121,3,35000,105000
ITEM000007,ORD00003,PROD0081,3,12000,36000
ITEM000008,ORD00004,PROD0101,1,10000,10000
ITEM000009,ORD00004,PROD0076,2,30000,60000
ITEM000010,ORD00004,PROD0070,3,22000,66000
ITEM000011,ORD00005,PROD0073,3,15000,45000
ITEM000012,ORD00005,PROD0044,3,25000,75000
ITEM000013,ORD00006,PROD0048,3,50000,150000
ITEM000014,ORD00006,PROD0026,2,5000,10000
ITEM000015,ORD00006,PROD0055,2,9000,18000
ITEM000016,ORD00007,PROD0076,2,30000,60000
ITEM000017,ORD00008,PROD0068,2,10000,20000
ITEM000018,ORD00008,PROD0003,2,20000,40000
ITEM000019,ORD00008,PROD0001,3,30000,90000
ITEM000020,ORD00008,PROD0036,3,35000,105000
ITEM000021,ORD00009,PROD0058,1,28000,28000
ITEM000022,ORD00010,PROD0034,1,20000,20000
ITEM000023,ORD00010,PROD0020,3,12000,36000
ITEM000024,ORD00010,PROD0031,3,35000,105000
ITEM000025,ORD00010,PROD0051,1,8000,8000
ITEM000026,ORD00011,PROD0033,1,15000,15000
ITEM000027,ORD00012,PROD0082,3,15000,45000
ITEM000028,ORD00012,PROD0105,1,12000,12000
ITEM000029,ORD00013,PROD0095,1,12000,12000
ITEM000030,ORD00013,PROD0120,1,30000,30000
ITEM000031,ORD00014,PROD0106,1,25000,25000
ITEM000032,ORD00014,PROD0074,2,18000,36000
ITEM000033,ORD00014,PROD0061,1,20000,20000
ITEM000034,ORD00014,PROD0105,1,12000,12000
ITEM000035,ORD00015,PROD0111,1,32000,32000
ITEM000036,ORD00015,PROD0004,2,17000,34000
ITEM000037,ORD00016,PROD0071,3,20000,60000
ITEM000038,ORD00017,PROD0043,2,18000,36000
ITEM000039,ORD00017,PROD0039,2,20000,40000
ITEM000040,ORD00018,PROD0047,3,22000,66000
ITEM000041,ORD00018,PROD0042,2,9000,18000
ITEM000042,ORD00019,PROD0119,2,75000,150000
ITEM000043,ORD00020,PROD0009,3,12000,36000
ITEM000044,ORD00020,PROD0105,1,12000,12000
ITEM000045,ORD00020,PROD0002,1,25000,25000
ITEM000046,ORD00020,PROD0032,3,35000,105000
ITEM000047,ORD00021,PROD0086,2,22000,44000
ITEM000048,ORD00022,PROD0023,2,25000,50000
ITEM000049,ORD00023,PROD0048,1,50000,50000
ITEM000050,ORD00023,PROD0004,2,17000,34000
ITEM000051,ORD00024,PROD0084,2,9000,18000
ITEM000052,ORD00024,PROD0093,1,24000,24000
ITEM000053,ORD00024,PROD0117,2,100000,200000
ITEM000054,ORD00025,PROD0119,2,75000,150000
ITEM000055,ORD00025,PROD0018,3,125000,375000
ITEM000056,ORD00025,PROD0093,1,24000,24000
ITEM000057,ORD00025,PROD0003,3,20000,60000
ITEM000058,ORD00026,PROD0068,3,10000,30000
ITEM000059,ORD00026,PROD0067,2,30000,60000
ITEM000060,ORD00026,PROD0054,2,25000,50000
ITEM000061,ORD00027,PROD0043,1,18000,18000
ITEM000062,ORD00028,PROD0078,1,12000,12000
ITEM000063,ORD00028,PROD0121,2,35000,70000
ITEM000064,ORD00028,PROD0017,2,50000,100000
ITEM000065,ORD00028,PROD0032,3,35000,105000
ITEM000066,ORD00029,PROD0027,2,12000,24000
ITEM000067,ORD00029,PROD0113,2,10000,20000
ITEM000068,ORD00029,PROD0022,1,45000,45000
ITEM000069,ORD00030,PROD0083,2,12000,24000
ITEM000070,ORD00030,PROD0097,1,10000,10000
ITEM000071,ORD00031,PROD0060,2,10000,20000
ITEM000072,ORD00031,PROD0047,2,22000,44000
ITEM000073,ORD00032,PROD0046,3,173000,519000
ITEM000074,ORD00032,PROD0082,2,15000,30000
ITEM000075,ORD00032,PROD0033,1,15000,15000
ITEM000076,ORD00032,PROD0081,3,12000,36000
ITEM000077,ORD00033,PROD0041,3,20000,60000
ITEM000078,ORD00034,PROD0042,1,9000,9000
ITEM000079,ORD00034,PROD0091,1,16000,16000
ITEM000080,ORD00034,PROD0035,3,5000,15000
ITEM000081,ORD00035,PROD0086,1,22000,22000
ITEM000082,ORD00035,PROD0016,3,150000,450000
ITEM000083,ORD00035,PROD0028,3,5000,15000
ITEM000084,ORD00035,PROD0090,1,12000,12000
ITEM000085,ORD00036,PROD0005,3,25000,75000
ITEM000086,ORD00036,PROD0073,2,15000,30000
ITEM000087,ORD00036,PROD0021,3,45000,135000
ITEM000088,ORD00036,PROD0098,2,15000,30000
ITEM000089,ORD00037,PROD0066,1,25000,25000
ITEM000090,ORD00037,PROD0009,1,12000,12000
ITEM000091,ORD00037,PROD0042,3,9000,27000
ITEM000092,ORD00038,PROD0046,3,173000,519000
ITEM000093,ORD00038,PROD0001,3,30000,90000
ITEM000094,ORD00038,PROD0120,3,30000,90000
ITEM000095,ORD00038,PROD0078,2,12000,24000
ITEM000096,ORD00039,PROD0047,1,22000,22000
ITEM000097,ORD00039,PROD0112,1,12000,12000
ITEM000098,ORD00040,PROD0019,3,15000,45000
ITEM000099,ORD00040,PROD0024,2,12000,24000
ITEM000100,ORD00040,PROD0040,3,40000,120000
ITEM000101,ORD00041,PROD0083,2,12000,24000
ITEM000102,ORD00041,PROD0096,2,8000,16000
ITEM000103,ORD00041,PROD0035,2,5000,10000
ITEM000104,ORD00042,PROD0110,2,20000,40000
ITEM000105,ORD00042,PROD0047,1,22000,22000
ITEM000106,ORD00042,PROD0071,1,20000,20000
ITEM000107,ORD00043,PROD0021,2,45000,90000
ITEM000108,ORD00043,PROD0111,2,32000,64000
ITEM000109,ORD00043,PROD0070,3,22000,66000
ITEM000110,ORD00044,PROD0068,1,10000,10000
ITEM000111,ORD00044,PROD0069,3,15000,45000
ITEM000112,ORD00044,PROD0014,3,60000,180000
ITEM000113,ORD00044,PROD0017,1,50000,50000
ITEM000114,ORD00045,PROD0021,3,45000,135000
ITEM000115,ORD00045,PROD0054,1,25000,25000
ITEM000116,ORD00046,PROD0015,3,40000,120000
ITEM000117,ORD00046,PROD0016,1,150000,150000
ITEM000118,ORD00047,PROD0104,2,50000,100000
ITEM000119,ORD00047,PROD0047,1,22000,22000
ITEM000120,ORD00047,PROD0065,2,10000,20000
ITEM000121,ORD00048,PROD0048,2,50000,100000
ITEM000122,ORD00048,PROD0054,3,25000,75000
ITEM000123,ORD00048,PROD0079,2,30000,60000
ITEM000124,ORD00049,PROD0067,3,30000,90000
ITEM000125,ORD00049,PROD0026,2,5000,10000
ITEM000126,ORD00050,PROD0006,3,15000,45000
ITEM000127,ORD00050,PROD0113,2,10000,20000
ITEM000128,ORD00050,PROD0042,2,9000,18000
ITEM000129,ORD00051,PROD0093,2,24000,48000
ITEM000130,ORD00052,PROD0111,1,32000,32000
ITEM000131,ORD00052,PROD0037,1,60000,60000
ITEM000132,ORD00052,PROD0039,2,20000,40000
ITEM000133,ORD00052,PROD0090,1,12000,12000
ITEM000134,ORD00053,PROD0037,2,60000,120000
ITEM000135,ORD00053,PROD0084,1,9000,9000
ITEM000136,ORD00053,PROD0094,1,8000,8000
ITEM000137,ORD00054,PROD0120,3,30000,90000
ITEM000138,ORD00055,PROD0055,3,9000,27000
ITEM000139,ORD00055,PROD0081,1,12000,12000
