order_id,order_code,customer_name,total_amount,payment_method,created_at,created_by
ORD00001,ORD00001,Khách lẻ 652,94000,Chuyển khoản,2025-01-01,Nhân viên bán hàng
ORD00002,ORD00002,Khách lẻ 530,30000,Ví điện tử,2025-01-01,Nhân viên bán hàng
ORD00003,ORD00003,Khách lẻ 498,660000,Ví điện tử,2025-01-01,Nhân viên bán hàng
ORD00004,ORD00004,Khách lẻ 159,136000,Ví điện tử,2025-01-01,Nhân viên bán hàng
ORD00005,ORD00005,Khách lẻ 226,120000,Tiền mặt,2025-01-02,Nhân viên bán hàng
ORD00006,ORD00006,Khách lẻ 021,178000,Chuyển khoản,2025-01-02,Nhân viên bán hàng
ORD00007,ORD00007,Khách lẻ 530,60000,Tiền mặt,2025-01-02,Nhân viên bán hàng
ORD00008,ORD00008,Khách lẻ 724,255000,Chuyển khoản,2025-01-02,Nhân viên bán hàng
ORD00009,ORD00009,Khách lẻ 142,28000,Tiền mặt,2025-01-02,Nhân viên bán hàng
ORD00010,ORD00010,Khách lẻ 740,169000,Tiền mặt,2025-01-02,Nhân viên bán hàng
ORD00011,ORD00011,Khách lẻ 690,15000,Tiền mặt,2025-01-02,Nhân viên bán hàng
ORD00012,ORD00012,Khách lẻ 025,57000,Tiền mặt,2025-01-03,Nhân viên bán hàng
ORD00013,ORD00013,Khách lẻ 458,42000,Tiền mặt,2025-01-03,Nhân viên bán hàng
ORD00014,ORD00014,Khách lẻ 827,93000,Tiền mặt,2025-01-03,Nhân viên bán hàng
ORD00015,ORD00015,Khách lẻ 886,66000,Tiền mặt,2025-01-03,Nhân viên bán hàng
ORD00016,ORD00016,Khách lẻ 766,60000,Chuyển khoản,2025-01-03,Nhân viên bán hàng
ORD00017,ORD00017,Khách lẻ 568,76000,Chuyển khoản,2025-01-03,Nhân viên bán hàng
ORD00018,ORD00018,Khách lẻ 210,84000,Chuyển khoản,2025-01-03,Nhân viên bán hàng
ORD00019,ORD00019,Khách lẻ 532,150000,Chuyển khoản,2025-01-03,Nhân viên bán hàng
ORD00020,ORD00020,Khách lẻ 751,178000,Tiền mặt,2025-01-04,Nhân viên bán hàng
ORD00021,ORD00021,Khách lẻ 648,44000,Tiền mặt,2025-01-04,Nhân viên bán hàng
ORD00022,ORD00022,Khách lẻ 779,50000,Tiền mặt,2025-01-04,Nhân viên bán hàng
ORD00023,ORD00023,Khách lẻ 680,84000,Tiền mặt,2025-01-04,Nhân viên bán hàng
ORD00024,ORD00024,Khách lẻ 949,242000,Tiền mặt,2025-01-05,Nhân viên bán hàng
ORD00025,ORD00025,Khách lẻ 775,609000,Tiền mặt,2025-01-05,Nhân viên bán hàng
ORD00026,ORD00026,Khách lẻ 894,140000,Tiền mặt,2025-01-05,Nhân viên bán hàng
ORD00027,ORD00027,Khách lẻ 235,18000,Tiền mặt,2025-01-05,Nhân viên bán hàng
ORD00028,ORD00028,Khách lẻ 655,287000,Ví điện tử,2025-01-05,Nhân viên bán hàng
ORD00029,ORD00029,Khách lẻ 762,89000,Ví điện tử,2025-01-05,Nhân viên bán hàng
ORD00030,ORD00030,Khách lẻ 585,34000,Ví điện tử,2025-01-06,Nhân viên bán hàng
ORD00031,ORD00031,Khách lẻ 657,64000,Tiền mặt,2025-01-06,Nhân viên bán hàng
ORD00032,ORD00032,Khách lẻ 456,600000,Ví điện tử,2025-01-06,Nhân viên bán hàng
ORD00033,ORD00033,Khách lẻ 344,60000,Chuyển khoản,2025-01-06,Nhân viên bán hàng
ORD00034,ORD00034,Khách lẻ 120,40000,Ví điện tử,2025-01-06,Nhân viên bán hàng
ORD00035,ORD00035,Khách lẻ 680,499000,Ví điện tử,2025-01-07,Nhân viên bán hàng
ORD00036,ORD00036,Khách lẻ 851,270000,Tiền mặt,2025-01-07,Nhân viên bán hàng
ORD00037,ORD00037,Khách lẻ 510,64000,Tiền mặt,2025-01-07,Nhân viên bán hàng
ORD00038,ORD00038,Khách lẻ 043,723000,Tiền mặt,2025-01-07,Nhân viên bán hàng
