movement_id,product_id,type,quantity,old_quantity,new_quantity,unit_price,note,created_at
MOV00001,PROD0001,IMPORT,36,0,36,22000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-06
MOV00002,PROD0002,IMPORT,68,0,68,19000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-07
MOV00003,PROD0003,IMPORT,50,0,50,15000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-21
MOV00004,PROD0004,IMPORT,60,0,60,13000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-18
MOV00005,PROD0005,IMPORT,38,0,38,20000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-07
MOV00006,PROD0006,IMPORT,50,0,50,12000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-13
MOV00007,PROD0007,IMPORT,40,0,40,16000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-28
MOV00008,PROD0008,IMPORT,89,0,89,23000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-07-27
MOV00009,PROD0009,IMPORT,62,0,62,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-16
MOV00010,PROD0010,IMPORT,47,0,47,15000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-10
MOV00011,PROD0011,IMPORT,50,0,50,72000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-04
MOV00012,PROD0012,IMPORT,50,0,50,55000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-03
MOV00013,PROD0013,IMPORT,45,0,45,19000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-06
MOV00014,PROD0014,IMPORT,52,0,52,45000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-09
MOV00015,PROD0015,IMPORT,45,0,45,31000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-23
MOV00016,PROD0016,IMPORT,54,0,54,117000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-28
MOV00017,PROD0017,IMPORT,59,0,59,40000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-05
MOV00018,PROD0018,IMPORT,59,0,59,100000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-07
MOV00019,PROD0019,IMPORT,48,0,48,12000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-03
MOV00020,PROD0020,IMPORT,52,0,52,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-22
MOV00021,PROD0021,IMPORT,64,0,64,38000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-08
MOV00022,PROD0022,IMPORT,76,0,76,32000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-01
MOV00023,PROD0023,IMPORT,68,0,68,18000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-02
MOV00024,PROD0024,IMPORT,46,0,46,9000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-05
MOV00025,PROD0025,IMPORT,36,0,36,4000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-07
MOV00026,PROD0026,IMPORT,44,0,44,4000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-23
MOV00027,PROD0027,IMPORT,50,0,50,9000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-15
MOV00028,PROD0028,IMPORT,86,0,86,4000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-09
MOV00029,PROD0029,IMPORT,50,0,50,10000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-17
MOV00030,PROD0030,IMPORT,44,0,44,8000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-01
MOV00031,PROD0031,IMPORT,92,0,92,29000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-30
MOV00032,PROD0032,IMPORT,68,0,68,29000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-13
MOV00033,PROD0033,IMPORT,62,0,62,11000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-20
MOV00034,PROD0034,IMPORT,74,0,74,15000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-21
MOV00035,PROD0035,IMPORT,18,0,18,4000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-11-06
MOV00036,PROD0036,IMPORT,45,0,45,26000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-10
MOV00037,PROD0037,IMPORT,63,0,63,46000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-26
MOV00038,PROD0038,IMPORT,64,0,64,23000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-10
MOV00039,PROD0039,IMPORT,36,0,36,16000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-01
MOV00040,PROD0040,IMPORT,67,0,67,32000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-19
MOV00041,PROD0041,IMPORT,66,0,66,16000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-19
MOV00042,PROD0042,IMPORT,76,0,76,7000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-12
MOV00043,PROD0043,IMPORT,71,0,71,15000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-29
MOV00044,PROD0044,IMPORT,73,0,73,18000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-31
MOV00045,PROD0045,IMPORT,57,0,57,18000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-14
MOV00046,PROD0046,IMPORT,69,0,69,129000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-09-17
MOV00047,PROD0047,IMPORT,80,0,80,17000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-17
MOV00048,PROD0048,IMPORT,48,0,48,38000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-01-17
MOV00049,PROD0049,IMPORT,60,0,60,16000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2025-02-20
MOV00050,PROD0050,IMPORT,76,0,76,4000,Tồn đầu kỳ từ dữ liệu đã làm sạch,2024-12-23
